Date,Equal-Weight,Value-Weight
7/1/1990,13.34910296,8.705962505
8/1/1990,11.81765266,7.895838915
9/1/1990,10.8782045,7.464822396
10/1/1990,10.24057336,7.367426641
11/1/1990,10.70385547,7.869117983
12/1/1990,10.75062135,8.10731855
1/1/1991,11.72262994,8.533916326
2/1/1991,13.32059105,9.186388438
3/1/1991,14.5172708,9.461602393
4/1/1991,14.99612432,9.494074932
5/1/1991,15.52084669,9.894233061
6/1/1991,14.98802629,9.442495924
7/1/1991,15.48645308,9.893619225
8/1/1991,16.00163586,10.16266592
9/1/1991,16.14506875,10.04476528
10/1/1991,16.60454345,10.21657821
11/1/1991,16.19794439,9.815629994
12/1/1991,16.93166734,10.9106146
1/1/1992,19.42025567,10.88160916
2/1/1992,20.44618443,11.03452144
3/1/1992,20.13046938,10.77049014
4/1/1992,19.32827209,10.92175931
5/1/1992,19.39391302,10.98594014
6/1/1992,18.58816319,10.75845087
7/1/1992,19.11652779,11.19036173
8/1/1992,18.62058946,10.95309329
9/1/1992,18.8763812,11.09457855
10/1/1992,19.32294791,11.2311268
11/1/1992,20.80793301,11.70829014
12/1/1992,21.61543159,11.90989189
1/1/1993,23.01372187,12.0387857
2/1/1993,22.6774605,12.08247264
3/1/1993,23.38197543,12.38955777
4/1/1993,22.93695221,12.05090385
5/1/1993,23.90725221,12.42795098
6/1/1993,24.27884081,12.47167862
7/1/1993,24.56926037,12.44953755
8/1/1993,25.5135495,12.94280517
9/1/1993,26.25355957,12.94870395
10/1/1993,27.29739319,13.16992588
11/1/1993,26.69359233,12.95767708
12/1/1993,27.05987609,13.19509377
1/1/1994,28.41983087,13.61963696
2/1/1994,28.2576749,13.30249235
3/1/1994,26.96471567,12.70332312
4/1/1994,26.61328734,12.82737577
5/1/1994,26.56197923,12.95628964
6/1/1994,25.81339252,12.59360002
7/1/1994,26.19851886,12.98440067
8/1/1994,27.24262726,13.55397718
9/1/1994,27.47335805,13.29849148
10/1/1994,27.48709171,13.52798381
11/1/1994,26.37763977,13.02526277
12/1/1994,26.11399752,13.19827199
1/1/1995,26.88616799,13.46276592
2/1/1995,27.75771625,14.00567324
3/1/1995,28.3057966,14.39035733
4/1/1995,29.03940379,14.75587717
5/1/1995,29.65869709,15.27029504
6/1/1995,31.25142385,15.75466194
7/1/1995,33.09030467,16.40157491
8/1/1995,34.25469379,16.56516116
9/1/1995,35.23615301,17.18557605
10/1/1995,33.70246638,17.00090187
11/1/1995,34.29788973,17.73918417
12/1/1995,34.58195539,18.00949519
1/1/1996,35.63619471,18.49501256
2/1/1996,36.93326334,18.82107208
3/1/1996,37.90196862,19.04540886
4/1/1996,40.31265137,19.56264804
5/1/1996,43.06488664,20.1116853
6/1/1996,41.54711638,19.93753357
7/1/1996,37.95440472,18.83877996
8/1/1996,39.75242074,19.45664887
9/1/1996,41.01039967,20.51631155
10/1/1996,40.05818279,20.79760538
11/1/1996,41.01302375,22.17487912
12/1/1996,40.91453008,21.90505625
1/1/1997,43.57217598,23.11358025
2/1/1997,42.91889048,23.0586408
3/1/1997,40.66546227,22.04594882
4/1/1997,39.67789117,22.99655283
5/1/1997,43.35670213,24.67345191
6/1/1997,45.30859112,25.74828048
7/1/1997,47.65046632,27.77464852
8/1/1997,49.27720076,26.75560447
9/1/1997,53.5527136,28.32702054
10/1/1997,52.42646229,27.3517049
11/1/1997,51.26752296,28.20652719
12/1/1997,49.86470682,28.67998733
1/1/1998,50.55767234,28.85007816
2/1/1998,53.7479077,30.98571548
3/1/1998,56.43860415,32.56178897
4/1/1998,57.90281596,32.95117352
5/1/1998,55.33548366,32.06358656
6/1/1998,53.78034154,33.18395226
7/1/1998,50.75113722,32.42460357
8/1/1998,40.51496734,27.31791709
9/1/1998,42.21085061,29.1107908
10/1/1998,43.70035728,31.25317907
11/1/1998,47.29106955,33.23736021
12/1/1998,48.47281871,35.44105085
1/1/1999,51.8563475,36.7765576
2/1/1999,49.39122214,35.35637993
3/1/1999,49.0732351,36.80563325
4/1/1999,53.25384384,38.48883464
5/1/1999,55.00076741,37.71509678
6/1/1999,57.23648401,39.65487066
7/1/1999,57.70390706,38.4460708
8/1/1999,55.92085776,38.12227475
9/1/1999,54.99885035,37.18354663
10/1/1999,55.02929931,39.55974385
11/1/1999,60.37791137,41.15476276
12/1/1999,65.61822125,44.64915843
1/1/2000,69.02538633,42.6943192
2/1/2000,77.90227503,44.20747591
3/1/2000,77.87352429,46.42799493
4/1/2000,70.49231406,43.60340498
5/1/2000,66.10836747,41.86250485
6/1/2000,71.68866747,44.16379572
7/1/2000,70.13382832,43.25276539
8/1/2000,74.75692672,46.57876553
9/1/2000,71.80397406,44.15154282
10/1/2000,66.95597889,42.93380342
11/1/2000,58.34619679,38.38027149
12/1/2000,57.68253538,39.08107286
1/1/2001,71.77641407,40.50747882
2/1/2001,66.14640843,36.44049247
3/1/2001,61.44747653,33.8953167
4/1/2001,66.37543655,36.70330127
